Product Name,Price ID,Product ID,Price Amount (USD),Billing Interval,Description,Status
Get The Receipts 🚀 Quick Start 10,price_1SoPo4G71EqeOEZe8qcB1Qfa,prod_SwlO3Mi90QmUBZ,2.49,one_time,"10 x Credit Pack",active
Get The Receipts 💎 Premium Royalty Monthly,price_1RzgEZG71EqeOEZejcCAFXds,prod_SvXuMyn16DUqBm,6.99,month,"Premium Monthly Subscription",active
Get The Receipts 👑 The Founder's Pass (Limited),price_1RzgBYG71EqeOEZer7ojcw0R,prod_SvXGNBhAmUwGAU,29.99,year,"SPECIAL 50% OFF PRICING - Limited Time",active
Get The Receipts 🔥 Unlimited Premium Power Yearly,price_1Rzrpk871EqeOEZe8cHornWY,prod_SvjlB735M9ci,49.99,year,"Standard Yearly $49.99",hidden
